Dirección IP del cliente,Nombre,Expiración de cesión,Tipo,Id. exclusivo,Descripción,Protección de acceso a redes,Expiración del período de prueba,Perfil de filtro,Directiva
172.22.45.71,abustillosw7.bce.fin.ec,Reserva (activa),DHCP,1c1b0d1eb453,,Acceso completo,N/D,Ninguno,
172.22.45.73,jtacuriw10.bce.fin.ec,30/08/2023 11:53:46,DHCP,6c626dd86157,,Acceso completo,N/D,Ninguno,
172.22.45.77,vgarcesw7.bce.fin.ec,Reserva (activa),DHCP,6c626dd5c77d,,Acceso completo,N/D,Ninguno,
172.22.45.78,jmoyawin10.bce.fin.ec,01/09/2023 10:53:38,DHCP,7c57581b18dd,,Acceso completo,N/D,Ninguno,
172.22.45.79,rcalderonw7.bce.fin.ec,31/08/2023 7:56:31,DHCP,6c626dd5c676,,Acceso completo,N/D,Ninguno,
172.22.45.80,LBURBANOWIN7.bce.fin.ec,01/09/2023 9:27:42,DHCP,10604b8a1675,,Acceso completo,N/D,Ninguno,
172.22.45.86,rkcarrillow10.bce.fin.ec,Reserva (activa),DHCP,54bf648b6ea7,,Acceso completo,N/D,Ninguno,
172.22.45.92,GFIGUEROAW7.bce.fin.ec,Reserva (activa),DHCP,6c626dd8622f,,Acceso completo,N/D,Ninguno,
172.22.45.93,jfaguirrew7.bce.fin.ec,Reserva (activa),DHCP,10604b872816,,Acceso completo,N/D,Ninguno,
172.22.45.95,mcastanedaw10.bce.fin.ec,25/08/2023 8:00:40,DHCP,54bf648bd8a9,,Acceso completo,N/D,Ninguno,
172.22.45.97,fsaezwin7.bce.fin.ec,01/09/2023 7:55:30,DHCP,10604b84b04c,,Acceso completo,N/D,Ninguno,
172.22.45.99,csanchezw10.bce.fin.ec,01/09/2023 9:49:17,DHCP,38ca84b07df1,,Acceso completo,N/D,Ninguno,
172.22.45.101,pfruizw7.bce.fin.ec,31/08/2023 14:30:43,DHCP,0026b98089ed,,Acceso completo,N/D,Ninguno,
172.22.45.102,sramosw10.bce.fin.ec,Reserva (activa),DHCP,10604b8a195e,,Acceso completo,N/D,Ninguno,
172.22.45.103,LCASTILLO1W10.bce.fin.ec,31/08/2023 6:36:52,DHCP,5c60bae01498,,Acceso completo,N/D,Ninguno,
172.22.45.104,aalulemapw10.bce.fin.ec,Reserva (activa),DHCP,a029198130cf,,Acceso completo,N/D,Ninguno,
172.22.45.106,aimbaquingow10.bce.fin.ec,30/08/2023 8:54:59,DHCP,0026b98089fc,,Acceso completo,N/D,Ninguno,
172.22.45.108,giza1w10.bce.fin.ec,01/09/2023 7:45:58,DHCP,38ca84b07df2,,Acceso completo,N/D,Ninguno,
172.22.45.109,qhp3015-DNSP.bce.fin.ec,27/08/2023 0:15:50,DHCP,a0481c68a69a,,Acceso completo,N/D,Ninguno,
172.22.45.112,vmoralesw10p.bce.fin.ec,30/08/2023 8:26:28,DHCP,5c60bae47874,,Acceso completo,N/D,Ninguno,
172.22.45.113,areyespw10.bce.fin.ec,31/08/2023 9:32:23,DHCP,5c60bae47869,,Acceso completo,N/D,Ninguno,
172.22.45.114,TRANSPORTES1W7.bce.fin.ec,31/08/2023 10:16:19,DHCP,0026b9808261,,Acceso completo,N/D,Ninguno,
