Dirección IP del cliente,Nombre,Expiración de cesión,Tipo,Id. exclusivo,Descripción,Protección de acceso a redes,Expiración del período de prueba,Perfil de filtro,Directiva
172.22.45.79,rcalderonw7.bce.fin.ec,26/10/2023 7:54:06,DHCP,6c626dd5c676,,Acceso completo,N/D,Ninguno,
172.22.45.80,LBURBANOWIN7.bce.fin.ec,26/10/2023 11:19:36,DHCP,10604b8a1675,,Acceso completo,N/D,Ninguno,
172.22.45.86,rkcarrillow10.bce.fin.ec,Reserva (activa),DHCP,54bf648b6ea7,,Acceso completo,N/D,Ninguno,
172.22.45.92,GFIGUEROAW7.bce.fin.ec,Reserva (activa),DHCP,6c626dd8622f,,Acceso completo,N/D,Ninguno,
172.22.45.93,jfaguirrew7.bce.fin.ec,Reserva (activa),DHCP,10604b872816,,Acceso completo,N/D,Ninguno,
172.22.45.95,mcastaneda1w10.bce.fin.ec,26/10/2023 7:45:44,DHCP,54bf648bd8a9,,Acceso completo,N/D,Ninguno,
172.22.45.97,fsaezw10.bce.fin.ec,26/10/2023 10:30:04,DHCP,10604b84b04c,,Acceso completo,N/D,Ninguno,
172.22.45.99,csanchezw10.bce.fin.ec,26/10/2023 10:41:25,DHCP,38ca84b07df1,,Acceso completo,N/D,Ninguno,
172.22.45.101,pfruiz1w7.bce.fin.ec,26/10/2023 10:10:26,DHCP,0026b98089ed,,Acceso completo,N/D,Ninguno,
172.22.45.102,sramosw10.bce.fin.ec,Reserva (activa),DHCP,10604b8a195e,,Acceso completo,N/D,Ninguno,
172.22.45.103,LCASTILLO1W10.bce.fin.ec,26/10/2023 8:54:34,DHCP,5c60bae01498,,Acceso completo,N/D,Ninguno,
172.22.45.104,aalulemapw10.bce.fin.ec,Reserva (activa),DHCP,a029198130cf,,Acceso completo,N/D,Ninguno,
172.22.45.106,aimbaquingow10.bce.fin.ec,20/10/2023 15:13:47,DHCP,0026b98089fc,,Acceso completo,N/D,Ninguno,
172.22.45.108,giza1w10.bce.fin.ec,26/10/2023 11:23:33,DHCP,38ca84b07df2,,Acceso completo,N/D,Ninguno,
172.22.45.109,qhp3015-DNSP.bce.fin.ec,20/10/2023 15:12:49,DHCP,a0481c68a69a,,Acceso completo,N/D,Ninguno,
172.22.45.112,vmoralesw10p.bce.fin.ec,24/10/2023 8:42:11,DHCP,5c60bae47874,,Acceso completo,N/D,Ninguno,
172.22.45.113,areyespw10.bce.fin.ec,26/10/2023 11:10:10,DHCP,5c60bae47869,,Acceso completo,N/D,Ninguno,
172.22.45.114,TRANSPORTES1W7.bce.fin.ec,26/10/2023 8:58:25,DHCP,0026b9808261,,Acceso completo,N/D,Ninguno,
172.22.45.115,asaldarriagapw10.bce.fin.ec,26/10/2023 12:26:19,DHCP,5c60bae4786c,,Acceso completo,N/D,Ninguno,
172.22.45.116,vorozcow10.bce.fin.ec,Reserva (activa),DHCP,0026b9808a6d,,Acceso completo,N/D,Ninguno,
172.22.45.117,imoranpw10.bce.fin.ec,26/10/2023 11:05:27,DHCP,7c575820ec3b,,Acceso completo,N/D,Ninguno,
172.22.45.118,jpilataxixp.bce.fin.ec,Reserva (activa),DHCP,000d9dd02966,,Acceso completo,N/D,Ninguno,
172.22.45.121,ffflores1w10.bce.fin.ec,24/10/2023 8:06:33,DHCP,8469937ab7f6,,Acceso completo,N/D,Ninguno,
172.22.45.123,jruedaw10.bce.fin.ec,26/10/2023 8:30:54,DHCP,8469937a5110,,Acceso completo,N/D,Ninguno,
172.22.45.124,malopezpw10.bce.fin.ec,26/10/2023 7:45:02,DHCP,5c60bae014d2,,Acceso completo,N/D,Ninguno,
172.22.45.125,zdavilaw10.bce.fin.ec,26/10/2023 12:41:53,DHCP,38ca84b0804d,,Acceso completo,N/D,Ninguno,
172.22.45.126,hsanchezw10.bce.fin.ec,26/10/2023 8:58:56,DHCP,7c57581b1a28,,Acceso completo,N/D,Ninguno,
172.22.45.129,larrobow10.bce.fin.ec,24/10/2023 8:10:13,DHCP,38ca84b0760e,,Acceso completo,N/D,Ninguno,
172.22.45.130,CGUANOLUISAW10.bce.fin.ec,24/10/2023 15:12:51,DHCP,8469937a5114,,Acceso completo,N/D,Ninguno,
172.22.45.131,cbautistawin10.bce.fin.ec,26/10/2023 7:49:21,DHCP,5c60bae0152d,,Acceso completo,N/D,Ninguno,
172.22.45.132,mulcuangow10.bce.fin.ec,25/10/2023 7:56:17,DHCP,7c57581b1442,,Acceso completo,N/D,Ninguno,
172.22.45.133,MVGUANOLIQUINP10.bce.fin.ec,25/10/2023 12:26:06,DHCP,a029196691d0,,Acceso completo,N/D,Ninguno,
172.22.45.136,camoraptw10.bce.fin.ec,21/10/2023 5:30:49,DHCP,a02919669426,,Acceso completo,N/D,Ninguno,
172.22.45.137,mcaizapw10.bce.fin.ec,26/10/2023 8:19:45,DHCP,a029196691c6,,Acceso completo,N/D,Ninguno,
172.22.45.138,acarrascow7.bce.fin.ec,Reserva (activa),DHCP,001cc42ebf3a,,Acceso completo,N/D,Ninguno,
172.22.45.139,mrherrerapw10.bce.fin.ec,24/10/2023 15:11:56,DHCP,a029196691b9,,Acceso completo,N/D,Ninguno,
172.22.45.142,jeperaltaprtw10.bce.fin.ec,26/10/2023 8:22:16,DHCP,a029196691e0,,Acceso completo,N/D,Ninguno,
172.22.45.144,mvegajw10.bce.fin.ec,26/10/2023 7:49:22,DHCP,54bf648b6e96,,Acceso completo,N/D,Ninguno,
172.22.45.164,rjmoyaw10.bce.fin.ec,24/10/2023 15:13:52,DHCP,54bf648b6ffd,,Acceso completo,N/D,Ninguno,
172.22.45.165,jpulamarinwin7.bce.fin.ec,26/10/2023 7:56:25,DHCP,10604b8d0465,,Acceso completo,N/D,Ninguno,
172.22.45.181,eandradesportw7.bce.fin.ec,Reserva (activa),DHCP,14feb5c4daa1,,Acceso completo,N/D,Ninguno,
172.22.45.190,tonaw10.bce.fin.ec,26/10/2023 8:16:08,DHCP,8469937ab82a,,Acceso completo,N/D,Ninguno,
172.22.45.200,ssalazarmw7.bce.fin.ec,Reserva (activa),DHCP,64006a83cf13,,Acceso completo,N/D,Ninguno,
172.22.45.207,fbetancourtw7.bce.fin.ec,Reserva (activa),DHCP,6c626dd86248,,Acceso completo,N/D,Ninguno,
172.22.45.213,fsaezxp.bce.fin.ec,Reserva (activa),DHCP,001cc42ef440,,Acceso completo,N/D,Ninguno,
172.22.45.214,aaguzmanportw7.bce.fin.ec,Reserva (activa),DHCP,b499ba58a739,,Acceso completo,N/D,Ninguno,
172.22.45.247,aalulema1w10.bce.fin.ec,Reserva (activa),DHCP,10604b866cce,,Acceso completo,N/D,Ninguno,
172.22.45.249,jpandradew10.bce.fin.ec,26/10/2023 7:51:59,DHCP,10604b8727b0,,Acceso completo,N/D,Ninguno,
